iter	Passed	Remaining
0	4	18544
1	6	13241
2	8	11195
3	10	10235
4	12	9657
5	13	9261
6	15	9007
7	17	8798
8	19	8655
9	21	8619
10	23	8569
11	25	8593
12	28	8591
13	30	8541
14	31	8480
15	34	8478
16	35	8417
17	38	8498
18	40	8457
19	42	8454
20	44	8403
21	46	8346
22	47	8296
23	49	8256
24	51	8216
25	53	8195
26	55	8159
27	57	8135
28	59	8100
29	60	8068
30	62	8044
31	64	8031
32	66	8020
33	69	8097
34	71	8089
35	73	8063
36	75	8057
37	77	8086
38	79	8065
39	81	8039
40	83	8027
41	85	8028
42	87	8024
43	89	8029
44	91	8010
45	93	8015
46	95	8012
47	97	8010
48	99	8003
49	101	7985
50	103	7985
51	104	7967
52	106	7911
53	108	7917
54	110	7914
55	112	7919
56	114	7911
57	116	7889
58	117	7879
59	119	7864
60	121	7874
61	124	7887
62	126	7882
63	128	7906
64	130	7907
65	132	7890
66	134	7868
67	135	7847
68	137	7831
69	139	7816
70	140	7797
71	142	7794
72	144	7790
73	146	7788
74	148	7774
75	150	7762
76	152	7762
77	154	7750
78	156	7744
79	157	7732
80	159	7720
81	161	7718
82	163	7709
83	165	7704
84	167	7700
85	169	7697
86	170	7690
87	172	7684
88	175	7705
89	177	7695
90	179	7708
91	181	7722
92	183	7714
93	185	7712
94	187	7723
95	189	7719
96	191	7713
97	193	7718
98	196	7743
99	198	7736
100	201	7772
101	203	7780
102	205	7774
103	207	7761
104	209	7765
105	211	7763
106	213	7754
107	215	7755
108	217	7758
109	219	7761
110	221	7760
111	223	7761
112	225	7755
113	227	7747
114	229	7745
115	231	7739
116	233	7736
117	235	7731
118	236	7726
119	238	7724
120	241	7749
121	243	7745
122	245	7736
123	247	7731
124	249	7729
125	251	7728
126	253	7723
127	255	7719
128	257	7736
129	259	7728
130	261	7725
131	263	7721
132	265	7714
133	267	7715
134	269	7709
135	271	7707
136	273	7704
137	275	7700
138	277	7698
139	279	7694
140	280	7690
141	283	7690
142	285	7700
143	287	7701
144	289	7694
145	291	7690
146	293	7687
147	295	7684
148	297	7679
149	299	7681
150	301	7684
151	303	7684
152	305	7677
153	307	7671
154	309	7666
155	311	7672
156	313	7664
157	315	7663
158	317	7673
159	319	7672
160	321	7667
161	323	7662
162	325	7657
163	327	7652
164	329	7650
165	331	7658
166	333	7658
167	335	7653
168	337	7655
169	339	7649
170	341	7643
171	343	7639
172	345	7637
173	347	7633
174	349	7629
175	350	7624
176	352	7622
177	354	7617
178	356	7616
179	358	7611
180	360	7606
181	362	7609
182	364	7605
183	366	7609
184	368	7608
185	370	7603
186	372	7603
187	374	7600
188	376	7596
189	378	7593
190	380	7591
191	382	7590
192	384	7587
193	386	7582
194	388	7578
195	390	7575
196	392	7572
197	394	7575
198	396	7575
199	398	7580
200	400	7577
201	402	7572
202	404	7568
203	406	7564
204	408	7563
205	410	7564
206	412	7567
207	415	7571
208	417	7567
209	419	7563
210	421	7560
211	422	7557
212	424	7555
213	427	7555
214	429	7554
215	431	7556
216	433	7563
217	435	7558
218	437	7556
219	439	7551
220	441	7548
221	443	7542
222	445	7539
223	447	7547
224	449	7540
225	451	7537
226	453	7532
227	455	7530
228	457	7527
229	458	7522
230	460	7521
231	462	7516
232	464	7514
233	466	7507
234	468	7504
235	470	7501
236	472	7498
237	474	7498
238	476	7502
239	478	7497
240	481	7503
241	482	7499
242	484	7496
243	486	7490
244	488	7489
245	490	7488
246	492	7484
247	494	7479
248	496	7477
249	498	7471
250	499	7467
251	501	7465
252	503	7461
253	505	7458
254	507	7457
255	509	7457
256	511	7455
257	513	7452
258	515	7447
259	517	7444
260	519	7440
261	521	7438
262	523	7436
263	525	7432
264	527	7429
265	529	7431
266	531	7430
267	533	7428
268	535	7428
269	537	7424
270	539	7420
271	541	7418
272	542	7413
273	544	7409
274	547	7410
275	548	7405
276	550	7404
277	552	7399
278	554	7397
279	556	7395
280	558	7391
281	560	7391
282	562	7391
283	565	7394
284	566	7390
285	568	7385
286	570	7383
287	572	7381
288	574	7378
289	576	7377
290	578	7376
291	580	7375
292	582	7372
293	585	7378
294	587	7377
295	589	7374
296	591	7374
297	593	7377
298	596	7382
299	598	7379
300	600	7375
301	602	7373
302	603	7368
303	606	7368
304	608	7367
305	610	7373
306	614	7387
307	616	7387
308	618	7386
309	620	7382
310	622	7380
311	624	7380
312	626	7384
313	631	7409
314	633	7412
315	636	7422
316	638	7421
317	640	7419
318	642	7417
319	644	7416
320	647	7415
321	648	7410
322	650	7408
323	652	7404
324	654	7399
325	656	7401
326	658	7402
327	661	7400
328	662	7395
329	664	7391
330	666	7388
331	668	7384
332	670	7379
333	672	7380
334	675	7389
335	678	7398
336	680	7396
337	682	7396
338	685	7400
339	691	7446
340	694	7449
341	696	7454
342	698	7451
343	700	7447
344	702	7442
345	704	7438
346	706	7440
347	709	7448
348	712	7449
349	714	7447
350	715	7443
351	718	7441
352	720	7443
353	723	7450
354	725	7450
355	727	7450
356	729	7449
357	732	7447
358	734	7445
359	736	7443
360	738	7443
361	740	7445
362	742	7443
363	745	7441
364	747	7439
365	748	7435
366	750	7432
367	752	7429
368	754	7427
369	757	7428
370	759	7432
371	761	7429
372	764	7429
373	766	7427
374	767	7423
375	770	7421
376	771	7418
377	774	7419
378	776	7415
379	778	7412
380	779	7408
381	781	7403
382	783	7400
383	785	7399
384	787	7397
385	789	7394
386	791	7392
387	793	7389
388	795	7385
389	797	7382
390	799	7380
391	801	7378
392	803	7377
393	805	7374
394	807	7372
395	809	7368
396	811	7366
397	813	7363
398	815	7360
399	817	7357
400	819	7355
401	821	7355
402	823	7353
403	826	7352
404	827	7349
405	829	7346
406	831	7341
407	833	7336
408	835	7335
409	837	7333
410	839	7330
411	841	7326
412	843	7323
413	845	7320
414	847	7317
415	848	7313
416	850	7311
417	852	7307
418	854	7305
419	856	7302
420	858	7298
421	860	7295
422	862	7292
423	864	7288
424	866	7286
425	868	7283
426	870	7280
427	871	7277
428	873	7273
429	875	7269
430	877	7266
431	879	7264
432	881	7262
433	883	7261
434	886	7264
435	889	7267
436	890	7264
437	892	7261
438	894	7257
439	896	7254
440	898	7250
441	900	7247
442	902	7245
443	904	7241
444	906	7239
445	908	7236
446	910	7233
447	911	7230
448	913	7226
449	915	7224
450	917	7221
451	919	7219
452	922	7223
453	924	7220
454	926	7217
455	928	7213
456	930	7210
457	932	7208
458	933	7205
459	935	7202
460	937	7200
461	939	7197
462	941	7194
463	943	7190
464	945	7187
465	947	7186
466	949	7182
467	951	7180
468	953	7177
469	955	7173
470	957	7171
471	959	7168
472	960	7164
473	962	7161
474	964	7158
475	966	7154
476	968	7152
477	970	7149
478	972	7147
479	974	7143
480	976	7144
481	978	7141
482	980	7138
483	982	7135
484	984	7132
485	986	7132
486	988	7131
487	990	7129
488	993	7129
489	995	7127
490	997	7126
491	999	7123
492	1001	7126
493	1004	7127
494	1007	7133
495	1009	7132
496	1011	7131
497	1013	7129
498	1016	7128
499	1018	7128
500	1020	7126
501	1022	7123
502	1024	7121
503	1026	7118
504	1028	7115
505	1029	7112
506	1032	7110
507	1034	7110
508	1036	7108
509	1038	7106
510	1040	7104
511	1042	7101
512	1044	7098
513	1047	7101
514	1049	7100
515	1051	7098
516	1053	7098
517	1056	7099
518	1058	7098
519	1060	7097
520	1064	7105
521	1066	7106
522	1069	7108
523	1071	7106
524	1073	7104
525	1075	7101
526	1077	7097
527	1079	7095
528	1081	7098
529	1083	7097
530	1085	7093
531	1087	7089
532	1089	7085
533	1091	7082
534	1093	7079
535	1094	7076
536	1097	7077
537	1099	7076
538	1101	7074
539	1103	7071
540	1105	7068
541	1107	7066
542	1109	7063
543	1111	7062
544	1113	7060
545	1115	7059
546	1117	7057
547	1119	7054
548	1121	7051
549	1123	7048
550	1125	7045
551	1127	7044
552	1129	7043
553	1132	7042
554	1134	7040
555	1136	7037
556	1138	7035
557	1139	7031
558	1142	7030
559	1144	7029
560	1146	7028
561	1148	7026
562	1150	7024
563	1152	7020
564	1154	7021
565	1157	7020
566	1159	7018
567	1161	7018
568	1163	7015
569	1166	7016
570	1167	7013
571	1169	7011
572	1172	7009
573	1173	7005
574	1175	7003
575	1177	7002
576	1179	6999
577	1181	6995
578	1183	6992
579	1185	6990
580	1187	6988
581	1189	6984
582	1191	6982
583	1193	6979
584	1195	6977
585	1197	6974
586	1199	6974
587	1201	6972
588	1203	6969
589	1205	6966
590	1207	6963
591	1209	6961
592	1211	6960
593	1213	6958
594	1215	6955
595	1217	6952
596	1219	6950
597	1221	6947
598	1223	6945
599	1225	6943
600	1227	6943
601	1229	6939
602	1232	6940
603	1233	6937
604	1235	6934
605	1237	6933
606	1239	6929
607	1241	6927
608	1243	6925
609	1246	6926
610	1248	6923
611	1250	6920
612	1252	6917
613	1254	6917
614	1256	6914
615	1258	6913
616	1260	6911
617	1262	6908
618	1264	6907
619	1266	6904
620	1268	6900
621	1270	6898
622	1272	6896
623	1274	6893
624	1276	6891
625	1278	6888
626	1280	6886
627	1281	6883
628	1283	6880
629	1285	6877
630	1287	6874
631	1289	6871
632	1291	6868
633	1293	6865
634	1295	6863
635	1297	6861
636	1299	6859
637	1301	6856
638	1303	6854
639	1305	6851
640	1307	6850
641	1309	6848
642	1311	6846
643	1313	6843
644	1315	6842
645	1318	6843
646	1321	6847
647	1323	6847
648	1326	6848
649	1328	6847
650	1330	6844
651	1332	6841
652	1334	6838
653	1335	6834
654	1337	6832
655	1340	6831
656	1342	6829
657	1344	6829
658	1346	6827
659	1348	6826
660	1350	6823
661	1353	6825
662	1355	6822
663	1357	6820
664	1359	6817
665	1361	6815
666	1363	6813
667	1365	6810
668	1367	6807
669	1369	6804
670	1370	6801
671	1372	6798
672	1374	6796
673	1376	6793
674	1379	6793
675	1380	6790
676	1383	6788
677	1385	6786
678	1386	6783
679	1388	6780
680	1390	6777
681	1392	6774
682	1394	6771
683	1396	6768
684	1398	6769
685	1401	6768
686	1403	6766
687	1405	6763
688	1406	6760
689	1409	6760
690	1411	6758
691	1413	6755
692	1415	6754
693	1417	6754
694	1419	6750
695	1421	6748
696	1423	6745
697	1425	6742
698	1427	6739
699	1429	6737
700	1431	6734
701	1432	6731
702	1435	6731
703	1437	6729
704	1439	6726
705	1441	6724
706	1443	6721
707	1445	6719
708	1447	6717
709	1449	6714
710	1451	6713
711	1453	6711
712	1455	6708
713	1456	6704
714	1458	6703
715	1460	6700
716	1462	6697
717	1464	6695
718	1466	6692
719	1468	6690
720	1470	6688
721	1472	6686
722	1474	6684
723	1476	6682
724	1478	6679
725	1480	6677
726	1482	6674
727	1484	6672
728	1486	6670
729	1488	6668
730	1490	6665
731	1492	6662
732	1494	6658
733	1495	6656
734	1497	6653
735	1499	6651
736	1501	6648
737	1504	6650
738	1506	6647
739	1508	6644
740	1510	6642
741	1512	6639
742	1514	6637
743	1516	6635
744	1518	6635
745	1520	6633
746	1522	6631
747	1524	6629
748	1526	6626
749	1528	6624
750	1530	6622
751	1532	6620
752	1535	6619
753	1536	6616
754	1538	6613
755	1540	6610
756	1542	6607
757	1544	6606
758	1546	6603
759	1548	6601
760	1550	6598
761	1552	6596
762	1554	6593
763	1555	6590
764	1558	6588
765	1559	6585
766	1561	6582
767	1564	6582
768	1566	6580
769	1568	6579
770	1570	6577
771	1572	6574
772	1574	6571
773	1576	6569
774	1578	6567
775	1580	6566
776	1582	6564
777	1584	6562
778	1586	6559
779	1588	6557
780	1590	6554
781	1592	6552
782	1594	6551
783	1596	6548
784	1598	6547
785	1600	6545
786	1602	6541
787	1604	6539
788	1606	6536
789	1607	6533
790	1609	6530
791	1611	6528
792	1613	6526
793	1615	6524
794	1618	6523
795	1619	6520
796	1621	6518
797	1623	6516
798	1625	6513
799	1627	6510
800	1629	6508
801	1631	6505
802	1633	6503
803	1635	6501
804	1637	6498
805	1639	6496
806	1641	6493
807	1643	6490
808	1645	6488
809	1647	6487
810	1649	6485
811	1651	6482
812	1653	6479
813	1655	6478
814	1656	6475
815	1658	6472
816	1660	6469
817	1662	6466
818	1664	6463
819	1666	6460
820	1667	6458
821	1669	6455
822	1671	6453
823	1673	6449
824	1675	6447
825	1677	6445
826	1679	6442
827	1681	6439
828	1683	6438
829	1685	6436
830	1687	6433
831	1688	6431
832	1690	6428
833	1692	6425
834	1694	6423
835	1696	6421
836	1698	6419
837	1700	6416
838	1702	6414
839	1704	6411
840	1706	6409
841	1708	6406
842	1709	6403
843	1711	6400
844	1713	6398
845	1716	6397
846	1717	6395
847	1720	6393
848	1722	6391
849	1723	6388
850	1725	6386
851	1727	6383
852	1729	6380
853	1731	6378
854	1733	6376
855	1735	6374
856	1737	6371
857	1738	6368
858	1740	6365
859	1742	6363
860	1744	6360
861	1746	6358
862	1748	6356
863	1750	6353
864	1752	6350
865	1754	6348
866	1756	6345
867	1757	6342
868	1759	6340
869	1762	6339
870	1764	6337
871	1765	6334
872	1767	6332
873	1770	6331
874	1772	6329
875	1773	6326
876	1776	6324
877	1778	6323
878	1780	6321
879	1782	6318
880	1783	6315
881	1785	6312
882	1787	6310
883	1789	6309
884	1792	6307
885	1794	6306
886	1796	6305
887	1798	6302
888	1800	6299
889	1801	6296
890	1803	6294
891	1805	6292
892	1807	6289
893	1809	6286
